Wilaya,Commune,Zone_Sismique,Policy_Count,Total_Capital,Avg_Vulnerability,Risk_Weighted_Capital,Concentration_Pct
44 - AIN DEFLA,64 - ZEDDINE,IIa,7,"18000000,0","0,36","6480000,0","0,006"
35 - BOUMERDES,445 - BEN CHOUD,I,11,"17950000,0","0,23636363636363636","4266000,0","0,006"
19 - SETIF,1129 - AIN ARNAT,IIb,11,"17838000,0","0,4145454545454546","7295200,0","0,006"
21 - SKIKDA,1264 - FIL FILA,IIa,6,"17760000,0","0,31","5436000,0","0,006"
34 - B.B ARRERIDJ,390 - RAS EL OUED,IIa,7,"17710000,0","0,3","5313000,0","0,006"
26 - MEDEA,848 - OULED DEIDE,IIb,6,"17671200,0","0,4533333333333333","7663680,0","0,006"
16 - ALGER,465 - OULED MOUSSA,IIa,3,"17620000,0","0,32","5586000,0","0,006"
14 - TIARET,1371 - RAHOUIA,IIb,2,"17391740,0","0,4","6956696,0","0,006"
3 - LAGHOUAT,746 - HASSI RMEL,I,11,"17212440,0","0,2","3442488,0","0,006"
21 - SKIKDA,1267 - KERKERA,IIa,6,"17100000,0","0,36000000000000004","6156000,0","0,006"
39 - El Oued,579 - BAYADHA,I,7,"17100000,0","0,24","4104000,0","0,006"
35 - BOUMERDES,442 - AFIR,I,8,"16940000,0","0,225","3788000,0","0,006"
2 - CHLEF,475 - AIN MERANE,IIb,6,"16937100,0","0,4266666666666667","7094840,0","0,006"
16 - ALGER,355 - MEFTAH,IIa,5,"16747950,0","0,3","5024385,0","0,006"
29 - MASCARA,773 - EL HACHEM,I,3,"16740000,0","0,20000000000000004","3348000,0","0,006"
10 - BOUIRA,417 - EL ASNAM,III,6,"16697000,0","0,5","8348500,0","0,006"
23 - ANNABA,166 - SERAIDI,IIb,6,"16677690,0","0,4666666666666666","7911076,0","0,006"
5 - BATNA,182 - CHIR,IIa,3,"16492000,0","0,3","4947600,0","0,006"
5 - BATNA,225 - TIGHARGHAR,IIa,15,"16474950,0","0,3","4942485,0","0,006"
29 - MASCARA,766 - BOUHANIFIA,I,8,"16370480,0","0,2","3274096,0","0,005"
29 - MASCARA,789 - MOHAMMADIA MASCARA,I,5,"16309206,26","0,20800000000000002","3301841,2520000003","0,005"
18 - JIJEL,689 - CHAHNA,IIa,7,"16213000,0","0,3","4863900,0","0,005"
42 - TIPAZA,1410 - MESSELMOUN,IIb,6,"16109700,0","0,4533333333333333","7403880,0","0,005"
46 - AIN TIMOUCHENT,69 - AIN-TEMOUCHENT,I,7,"16093350,0","0,2","3218670,0","0,005"
44 - AIN DEFLA,35 - ARIB,IIa,7,"16039550,0","0,3257142857142857","5171865,0","0,005"
27 - MOSTAGANEM,906 - AIN SIDI CHERIF,I,3,"15995000,0","0,20000000000000004","3199000,0","0,005"
15 - TIZI OUZOU,1480 - ILLILTEN,IIa,4,"15470000,0","0,3","4641000,0","0,005"
6 - BEJAIA,1496 - SOUK EL TENINE,IIb,8,"15425950,0","0,45999999999999996","6930380,0","0,005"
25 - CONSTANTINE,519 - OULED RAHMOUN,0,6,"15400000,0","0,2833333333333333","4300000,0","0,005"
34 - B.B ARRERIDJ,274 - EL KSEUR,IIa,4,"15291000,0","0,32999999999999996","4827300,0","0,005"
4 - OUM EL BOUAGHI,1072 - SIGUS,IIa,5,"15090000,0","0,312","4707000,0","0,005"
35 - BOUMERDES,455 - DJINET,I,5,"15058000,0","0,24000000000000005","3291600,0","0,005"
6 - BEJAIA,258 - AOKAS,IIb,6,"14735150,0","0,44","6414060,0","0,005"
18 - JIJEL,695 - EL AOUANA,IIa,4,"14724000,0","0,3","4417200,0","0,005"
36 - EL TAREF,624 - El-TARF,0,5,"14665000,0","0,27999999999999997","4166250,0","0,005"
40 - KHENCHELA,721 - EL HAMMA,IIa,6,"14462120,0","0,3","4338636,0","0,005"
5 - BATNA,37 - BATHIA,IIa,2,"14421400,0","0,3","4326420,0","0,005"
48 - RELIZANE,1103 - RELIZANE,I,8,"14308270,0","0,22","3021654,0","0,005"
28 - M SILA,938 - AIN KHADRA,0,10,"14255000,0","0,295","4113750,0","0,005"
19 - SETIF,1132 - AIN LAGRADJ,IIb,7,"14000000,0","0,48","6720000,0","0,005"
36 - EL TAREF,519 - OULED RAHMOUN,0,1,"14000000,0","0,3","4200000,0","0,005"
15 - TIZI OUZOU,1454 - AIT YAHIA,IIa,1,"14000000,0","0,3","4200000,0","0,005"
27 - MOSTAGANEM,1003 - BIR EL DJIR,I,1,"14000000,0","0,2","2800000,0","0,005"
26 - MEDEA,853 - REBAIA,IIb,3,"13800000,0","0,48","6624000,0","0,005"
10 - BOUIRA,416 - EL ADJIBA,III,4,"13800000,0","0,55","7300000,0","0,005"
5 - BATNA,188 - FOUM TOUB,IIa,8,"13790660,0","0,3","4137198,0","0,005"
43 - MILA,893 - SIDI MEROUANE,IIa,6,"13638100,0","0,3","4091430,0","0,005"
10 - BOUIRA,407 - BIR GHBALOU,III,4,"13339500,0","0,5","6669750,0","0,004"
21 - SKIKDA,1250 - BENI BACHIR,IIa,6,"13278200,0","0,34","4661460,0","0,004"
16 - ALGER,1338 - HAMMAMET,IIa,6,"13276350,0","0,31","4162905,0","0,004"
21 - SKIKDA,1274 - RAMDANE DJAMEL,IIa,7,"13190890,0","0,3171428571428571","4191267,0","0,004"
31 - ORAN,1020 - OUED TLELAT,IIa,7,"12958210,0","0,3171428571428571","4067463,0","0,004"
26 - MEDEA,836 - KSAR EL BOUKHARI,IIb,4,"12881480,0","0,42000000000000004","5392592,0","0,004"
10 - BOUIRA,402 - AIN TURK BOUIRA,III,4,"12616000,0","0,5","6308000,0","0,004"
28 - M SILA,958 - MCIF,0,4,"12400000,0","0,3","3720000,0","0,004"
5 - BATNA,189 - GHASSIRA,IIa,6,"12276000,0","0,3","3682800,0","0,004"
15 - TIZI OUZOU,1501 - TIZI GHENIF,IIa,5,"12168400,0","0,3","3650520,0","0,004"
5 - BATNA,219 - SERIANA,IIa,6,"12092970,0","0,3","3627891,0","0,004"
8 - BECHAR,231 - BECHAR,0,2,"12000000,0","0,275","3050000,0","0,004"
6 - BEJAIA,151 - SOUIDANIA,IIb,3,"12000000,0","0,48","5760000,0","0,004"
34 - B.B ARRERIDJ,1078 - BEN DAOUD,IIa,2,"11900000,0","0,3","3570000,0","0,004"
40 - KHENCHELA,732 - TAMZA,IIa,6,"11887260,0","0,3","3566178,0","0,004"
26 - MEDEA,856 - SEGHOUANE,IIb,3,"11502600,0","0,4533333333333333","4921040,0","0,004"
35 - BOUMERDES,1265 - HAMADI KROUMA,I,1,"11500000,0","0,32000000000000006","3680000,000000001","0,004"
27 - MOSTAGANEM,908 - BOUGUIRAT,I,2,"11445000,0","0,2","2289000,0","0,004"
42 - TIPAZA,1403 - HADJERET ENNOUS,IIb,2,"11327000,0","0,4","4530800,0","0,004"
10 - BOUIRA,408 - BORDJ OUKHRISS,III,4,"11200000,0","0,5","5600000,0","0,004"
16 - ALGER,449 - BOUDOUAOU EL BAHRI,IIa,2,"11110000,0","0,39","4233000,0","0,004"
28 - M SILA,957 - MAGRA,0,8,"11007600,0","0,25625","2801900,0","0,004"
26 - MEDEA,868 - TLATET ED DOUAIR,IIb,4,"10951250,0","0,44","4540500,0","0,004"
5 - BATNA,171 - AIN YAGOUT,IIa,2,"10850000,0","0,3","3255000,0","0,004"
46 - AIN TIMOUCHENT,95 - TAMZOUGHA,I,3,"10800000,0","0,21333333333333335","2200000,0","0,004"
23 - ANNABA,165 - OUED EL ANEB,IIb,6,"10800000,0","0,48","5184000,0","0,004"
19 - SETIF,1136 - AIN SEBT,IIb,8,"10776000,0","0,4","4310400,0","0,004"
6 - BEJAIA,256 - AMALOU,IIb,2,"10675000,0","0,4","4270000,0","0,004"
16 - ALGER,1400 - DOUAOUDA,IIa,5,"10630000,0","0,32399999999999995","3429000,0","0,004"
16 - ALGER,260 - BEJAIA,IIa,2,"10601000,0","0,32999999999999996","3684300,0","0,004"
19 - SETIF,565 - EL BAYADH,IIb,1,"10571000,0","0,4","4228400,0","0,004"
18 - JIJEL,687 - BOURAOUI BELHADEF,IIa,6,"10540000,0","0,3","3162000,0","0,004"
6 - BEJAIA,280 - KHERRATA,IIb,3,"10500000,0","0,48","5040000,0","0,004"
5 - BATNA,962 - MSILA,IIa,3,"10500000,0","0,3","3150000,0","0,004"
29 - MASCARA,785 - MAOUSSA,I,3,"10465000,0","0,20000000000000004","2093000,0","0,003"
17 - DJELFA,945 - BOUSAADA,IIb,1,"10354000,0","0,4","4141600,0","0,003"
43 - MILA,896 - TASSALA LEMTAI,IIa,8,"10338650,0","0,3","3101595,0","0,003"
23 - ANNABA,167 - SIDI AMER,IIb,3,"10327720,0","0,4266666666666667","4611088,0","0,003"
39 - El Oued,591 - KOUININE,I,2,"10304000,0","0,2","2060800,0","0,003"
19 - SETIF,1139 - BABOR,IIb,8,"10225640,0","0,4","4090256,0","0,003"
5 - BATNA,186 - EL MADHER,IIa,3,"10202720,0","0,3","3060816,0","0,003"
7 - BISKRA,336 - TOLGA,IIa,3,"10200000,0","0,32","3120000,0","0,003"
31 - ORAN,374 - EL ANSEUR,IIa,1,"10080000,0","0,3","3024000,0","0,003"
15 - TIZI OUZOU,1450 - AIT KHELILI,IIa,4,"10064000,0","0,3","3019200,0","0,003"
